"Year","location","prop.pop","tot.pop"
1998,"Teahwhit Head",0.00265270279764779,1.14862031138149
1999,"Anderson Point",0.0551220113313984,33.2936948441646
1999,"Cape Alava",0.312574752159322,188.79515030423
1999,"Cape Johnson",0.171456324816687,103.559620189279
1999,"Rock 305",0.170634787886115,103.063411883213
1999,"Chibadehl Rock",0.0088019582601564,5.31638278913446
1999,"Destruction Island",0.316727539352297,191.303433768787
1999,"Neah Bay",0.00106758938181672,0.644823986617302
1999,"Point of the Arches",0.14708817480361,88.8412575813803
1999,"Tatoosh Island",0.0162763476751627,9.83091399579829
1999,"Teahwhit Head",0.00677944950272957,4.09478749964866
2000,"Anderson Point",0.0395205462935367,19.9183553319425
2000,"Cape Alava",0.197713820322512,99.6477654425461
2000,"Cape Johnson",0.309054140621751,155.763286873362
2000,"Rock 305",0.309234251190448,155.854062599986
2000,"Chibadehl Rock",0.00380536230631434,1.91790260238243
2000,"Destruction Island",0.284861386686623,143.570138890058
2000,"Neah Bay",0.000483132734766412,0.243498898322271
2000,"Point of the Arches",0.103751697124687,52.290855350842
2000,"Tatoosh Island",0.0115708678990067,5.8317174210994
2000,"Teahwhit Head",0.0247876097425467,12.4929553102435
2001,"Anderson Point",0.126741126218831,70.3413250514513
2001,"Cape Alava",0.318054321579504,176.520148476625
2001,"Cape Johnson",0.184980580351544,102.664222095107
2001,"Rock 305",0.189307471931061,105.065646921739
2001,"Chibadehl Rock",0.000245321411067034,0.136153383142204
2001,"Destruction Island",0.256204217799882,142.193340878935
2001,"Neah Bay",6.97649331637962e-08,3.87195379059069e-05
2001,"Point of the Arches",0.219919740725093,122.055456102427
2001,"Tatoosh Island",0.0069045914998247,3.83204828240271
2001,"Teahwhit Head",0.0268364731829615,14.8942426165436
2002,"Anderson Point",0.10607061792056,58.4449104742288
2002,"Cape Alava",0.232360999452834,128.030910698511
2002,"Cape Johnson",0.157113757482132,86.5696803726545
2002,"Rock 305",0.154924266330948,85.3632707483522
2002,"Chibadehl Rock",3.48610029732299e-14,1.92084126382497e-11
2002,"Destruction Island",0.371211638300838,204.537612703762
2002,"Neah Bay",0,0
2002,"Point of the Arches",0.188860385084797,104.062072181723
2002,"Tatoosh Island",2.78381184992682e-07,0.000153388032930968
2002,"Teahwhit Head",0.00513548091364885,2.82964998342052
2003,"Anderson Point",0.0765366000931876,51.4325952626221
2003,"Cape Alava",0.236323440600912,158.809352083813
2003,"Cape Johnson",0.145243128119998,97.6033820966386
2003,"Rock 305",0.143901186393513,96.7015972564407
2003,"Chibadehl Rock",8.10523908838512e-05,0.054467206673948
2003,"Destruction Island",0.43750826817093,294.005556210865
2003,"Neah Bay",2.30473476969806e-08,1.54878176523709e-05
2003,"Point of the Arches",0.20714302232414,139.200111001822
2003,"Tatoosh Island",0.00244495490687313,1.64300969741874
2003,"Teahwhit Head",0.00460001913908215,3.0912128614632
2004,"Anderson Point",0.0623792290328351,46.3477671713965
2004,"Cape Alava",0.173031979883906,128.562761053742
2004,"Cape Johnson",0.179938583032673,133.694367193276
2004,"Rock 305",0.177021146253704,131.526711666502
2004,"Chibadehl Rock",7.33011044279364e-05,0.0544627205899567
2004,"Destruction Island",0.513357890702323,381.424912791826
2004,"Neah Bay",2.08449736360805e-08,1.54878154116078e-05
2004,"Point of the Arches",0.101290874149726,75.2591194932463
2004,"Tatoosh Island",0.00216287437431917,1.60701566011914
2004,"Teahwhit Head",0.00629240969027933,4.67526039987754
2005,"Anderson Point",0.0737556989852733,60.0371389740125
2005,"Cape Alava",0.187177042674922,152.362112737386
2005,"Cape Johnson",0.184305434792935,150.024623921449
2005,"Rock 305",0.192081756810084,156.354550043409
2005,"Chibadehl Rock",6.80770002585707e-05,0.0554146782104765
2005,"Destruction Island",0.460177729674728,374.584671955228
2005,"Neah Bay",1.90406901356965e-08,1.5499121770457e-05
2005,"Point of the Arches",0.127363316709534,103.673739801561
2005,"Tatoosh Island",0.003037462423788,2.47249441296343
2005,"Teahwhit Head",0.0313486416786384,25.5177943264116
2006,"Anderson Point",0.0221644141384358,17.5098871693643
2006,"Cape Alava",0.150975267706817,119.270461488385
2006,"Cape Johnson",0.199299452151799,157.446567199921
2006,"Rock 305",0.233325570385324,184.327200604406
2006,"Chibadehl Rock",0.00112769059183426,0.890875567549068
